image,stone_coverage_frac,gray_mean,gray_median,gray_std,S_mean,S_std,V_mean,V_std,lbp_mean,lbp_std,glcm_contrast_d1,glcm_contrast_d2,glcm_contrast_d4,glcm_contrast_d8,glcm_homogeneity_d1,glcm_homogeneity_d2,glcm_homogeneity_d4,glcm_homogeneity_d8,glcm_energy_d1,glcm_energy_d2,glcm_energy_d4,glcm_energy_d8,glcm_correlation_d1,glcm_correlation_d2,glcm_correlation_d4,glcm_correlation_d8
frame_0008.jpg,0.10795521828372938,195.9092758061199,199.0,36.14153951248431,33.18435064786672,22.446680524363682,205.3028177060719,36.000232447487775,4.402435649045115,2.241745850419073,27.930485620711245,41.79408960487449,92.20912886100464,124.67383334133835,0.3677622386066035,0.31766674483504215,0.21954038045548416,0.16858906892465414,0.06345507528059763,0.057665462418755586,0.047871893956437275,0.04487301888843595,0.8212875372451269,0.7342218222288966,0.44332033475534005,0.2901443894959938
frame_0011.jpg,0.10689932501776268,197.15556991530312,203.0,37.65353384476782,40.83187556253029,21.849497167969606,208.66478964251922,37.45796720261889,4.388702709250212,2.3491854731741038,33.16287911033552,48.75745302206787,106.71853443351318,151.94811602271423,0.32745737403595854,0.2802494892134092,0.19017195893268948,0.140077949696429,0.0608684023860746,0.0552213505501489,0.04423431955694261,0.03810407205644561,0.8031139300564133,0.711679951514611,0.3983787437163773,0.2035350869489243
frame_0021.jpg,0.11099214494355411,193.61202489442098,197.0,35.62831728475962,38.36341409202045,25.00288499894814,204.3942431651478,35.58041532720192,4.3344695188841875,2.3083289307391386,30.11612449233153,44.82783791383098,97.5258591115998,134.39009222750238,0.3249173252801937,0.2751959616208425,0.181761433835314,0.13094644642855302,0.0536391731295856,0.04808424071039824,0.03835895112800704,0.03380893511601299,0.8022923293621852,0.7071639871316612,0.38775073952385675,0.19292233841267312
frame_0039.jpg,0.14915479197915843,185.94176218594419,189.0,32.595629028312686,45.1465786731504,24.602295535767496,198.5330389189368,33.12933943087619,4.401751666789677,1.9066292131953575,15.247091729272178,23.169047475709565,55.3620621535378,84.34248863491909,0.44950215535193583,0.3876572412232737,0.262661669034369,0.18775615941217313,0.07222922949708054,0.06404844699899155,0.04942204773747231,0.042307436987747964,0.8779634451290479,0.8142123780428736,0.5603793178185889,0.34650420913935454
frame_0045.jpg,0.1698803978842662,188.73006099331977,191.0,32.5836599173037,44.02361312808597,21.85972880253915,201.24076386871914,33.446024545272316,4.3456067485850784,1.88495857603472,14.822159530442464,22.29729885609067,54.72245761077038,85.81386373621008,0.4379741697281264,0.374323386323519,0.24520746579668107,0.17240974460174216,0.07071618613194529,0.06253004019638492,0.04765642702443136,0.04069121307219781,0.8808181631626739,0.8199155460607899,0.5611363207186916,0.3351531929627895
frame_0057.jpg,0.16536324701981528,191.0472332870847,194.0,33.6767041514396,42.51659729370869,21.467012054917543,203.0155753479837,34.16953574246481,4.3628516982401075,1.9979265412890035,18.118887697109912,27.231017006483448,64.34732222490791,97.39719314358837,0.4105718973031196,0.3503336766552455,0.23348851552527103,0.16578164302084908,0.06850911807930705,0.06105865789601565,0.04788945839803665,0.04116944166496791,0.8642095104576808,0.7954523699967669,0.5216316379525119,0.29065897428271625
frame_0065.jpg,0.1310294465935107,182.96223075764422,185.0,35.384231464384264,36.782309082693175,24.574179325703255,193.39113571320982,35.51962689717339,4.288666010727775,2.074910178715204,23.286177969091824,35.62393513211203,79.66513616231802,110.95889696512889,0.36791724529446274,0.31176961261376196,0.2133030184074223,0.1605007428645593,0.0572721058669258,0.050855851579066726,0.04073926562876698,0.03683454165296794,0.8427293568668828,0.7598537376545246,0.4769835473484978,0.3052831805645433
frame_0079.jpg,0.15715540380516302,190.43278076041568,195.0,35.06786113711936,41.290257762707604,20.477989270206237,201.98759850554143,35.49562299156228,4.373830450808052,1.972912532971675,18.315243328930972,28.631465241221324,71.91652772611988,109.57386631864152,0.4184088477002653,0.3591241743424691,0.2390078062755213,0.16585474204177914,0.06971477528688476,0.0620155742289953,0.04774135356099227,0.04029444006052899,0.8729701499286623,0.8011113774449318,0.5115541828919042,0.289034312003019
frame_0084.jpg,0.1547747098760559,190.93877616079826,193.0,33.10852807398916,35.048488132999665,20.20412611654317,200.6009691250777,33.41833379642578,4.302356668977127,1.974908299013316,17.733521585890067,27.898491040231285,70.19375729959117,107.28257024057676,0.3891390252622539,0.32816343647886653,0.2147304021436677,0.15139017888764913,0.06347615421416843,0.05597123091418004,0.04307444575701749,0.03711516418063012,0.8625975466060343,0.7841556877813087,0.47360697413491876,0.2363192912786521
frame_0092.jpg,0.1477683153074919,185.4384359817687,189.0,36.397211249012244,38.68734661168339,23.404989736909105,195.91214918944186,36.5819765624604,4.3640348615337015,1.9341871095535768,16.884499147506705,26.175329196808313,65.0367295692325,97.75322173247632,0.4263190000103794,0.365921321884709,0.2470091469879101,0.1809141032720061,0.0646198052633615,0.05736713299764973,0.044410652238300256,0.03828722473473718,0.8927646890614511,0.8334348642108846,0.591284233263462,0.4109947218343208
frame_0102.jpg,0.13531716270624458,188.83055606198724,191.0,31.919444866478184,34.220127620783956,22.81992451678593,198.70898814949862,33.26626835382286,4.304782545874874,1.9939111076562606,17.408106865917553,26.781856135280364,63.346922233913624,91.98478629726239,0.3964443046355464,0.33667261352067424,0.2267523149065749,0.16541391211647213,0.06428168949421412,0.05690054860995937,0.04485089772488613,0.039531591090958274,0.8558503918212134,0.7786813885334727,0.4893611972322772,0.28696117501586615
